codigo de articulo ;Descripcion;codigo de barras ;Proveedor;Departamento;Categoria;Marca
23906;SEMILLA DE OREGANO FLORENZA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22835;SEMILLA DE REPOLLO FLORENSA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22896;SEMILLA DE REPOLLO FLORENSA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
24275;SEMILLA DE SALVIA FLORENZA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22887;SEMILLA DE TOMATE FLORENSA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
24276;SEMILLA DE TOMILLO FLORENZA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22902;SEMILLA ESPINACA JAMAICA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22899;SEMILLA LECHUGA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22904;SEMILLA LECHUGA BOTEVIA BLANCA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
27667;SEMILLA LECHUGA GALLEGA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
27665;SEMILLA LECHUGA MANTECOSA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22889;SEMILLA LECHUGA MORADA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
27668;SEMILLA MELON ROCIO DE MIEL;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22884;SEMILLA PEPINO VERDE LARGO;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
