codigo de articulo ;codigo de barras ;Nombre de producto;Departamento;Categoria
22415;7790520988348;GLADE AC.NAT.RTO.MZ.CANEL X6;LIMPIEZA;Aromatizantes
19874;7790520016485;GLADE AERO AMANECER CITR 360CC;LIMPIEZA;Aromatizantes
14572;7790520987167;GLADE AUTOSP.FULL NEUTRALZ. X6;LIMPIEZA;Aromatizantes
9579;7790520001764;GLADE AUTOSP.REP NEUTRALZ.;LIMPIEZA;Aromatizantes
9524;7790520985194;GLADE CANASTA RTO.DUAL 2EN1;LIMPIEZA;BAÑO
16033;8002030138250;GLADE DEO SMILE CITRICO X12;LIMPIEZA;Aromatizantes
10042;7790520986566;GLADE GLASS AP.MAÑ-CAMPO X1U;LIMPIEZA;Aromatizantes
10043;7790520986573;GLADE GLASS REP COMBINADO X12;LIMPIEZA;Aromatizantes
19470;7790520004482;GLADE NAT.INFUS. FLORAL X400;LIMPIEZA;Aromatizantes
9573;7790520004505;GLADE NAT.INFUS.BRI/MAR X400;LIMPIEZA;Aromatizantes
23415;7790520011220;GLADE SENSAT.RTO.CARI.ALGO.8GR;LIMPIEZA;Aromatizantes
21637;7790520011213;GLADE SENSAT.RTO.MAÑ.CAMPO 8GR;LIMPIEZA;Aromatizantes
15977;7790520987402;GLADE TOQUE AP BR-CUMBRES X1;LIMPIEZA;Aromatizantes
9637;7790520008305;GLADE TOQUE AP.BEBE FULL X1;LIMPIEZA;BAÑO
9610;7790520972156;GLADE TOQUE REP.POTPOURRI X12;LIMPIEZA;Aromatizantes
9679;7790520014528;GLADE TOQUE REP.SPA X12;LIMPIEZA;Aromatizantes
9536;7790520011107;GLADE TOQUE RTO TROP.TWIS X1U;LIMPIEZA;Aromatizantes
9505;7790520985484;GLADE ULTRA CAMP-LAVANDA X100;LIMPIEZA;Aromatizantes
9509;7790520985507;GLADE ULTRA I LOVE YOU X100;LIMPIEZA;Aromatizantes
9705;7790520985514;GLADE ULTRA SPA X100CC;LIMPIEZA;Aromatizantes
22648;7794440027170;GUANTES MAPA SUPER AGARRE;LIMPIEZA;COCINA
24220;7794440027163;GUANTES MAPA SUPER AGARRE PEQ.;LIMPIEZA;COCINA
14568;7790828000339;J/BARRA GIGANTE BCO GLI 2X250G;LIMPIEZA;CUIDADO PARA LA ROPA
13987;7790828103290;J/BARRA GIGANTE X200G;LIMPIEZA;CUIDADO PARA LA ROPA
26068;26068;J/BARRA GRAN LEÑO OCRE 50X200G;LIMPIEZA;CUIDADO PARA LA ROPA
31872;7790828102101;J/BARRA GRAN LEÑO OCRE 50X200G;LIMPIEZA;CUIDADO PARA LA ROPA
11380;11380;J/BARRA GRAN LEÑO VERDE X200;LIMPIEZA;CUIDADO PARA LA ROPA
27483;7790990182253;J/POLVO ZORRO REG.PERL X800G;LIMPIEZA;CUIDADO PARA LA ROPA
71103;7791293037592;J/TOC.LUX FLORES DE VAIN.3X125;LIMPIEZA;
71102;7791293037646;J/TOC.LUX FLORES DE VAINI.X125;LIMPIEZA;
71096;71096;J/TOC.LUX LIRIO AZUL 3X125;LIMPIEZA;
25437;0;J/ZORRO REG.C/SUAV.X400G;LIMPIEZA;CUIDADO PARA LA ROPA
27482;7790990182406;J/ZORRO REG.CITRUS X800G;LIMPIEZA;CUIDADO PARA LA ROPA
9355;7790132094109;LAVANDINA AYUDIN ROPA BCA X1L;LIMPIEZA;LAVANDINAS
9680;7792023000084;LIQ.LIMP.MANCHESTER PINO X500;LIMPIEZA;PISOS
17702;7790520010629;LYSOFORM APC AIRE M.D/P X450;LIMPIEZA;Aromatizantes
9496;7790520010636;LYSOFORM APC BEBE L.LIQ X450;LIMPIEZA;PISOS
17645;7790520010612;LYSOFORM APC LAVAND.D/P X500;LIMPIEZA;PISOS
9495;7790520010599;LYSOFORM APC ORIG.D/P 450;LIMPIEZA;PISOS
9517;7790520985736;LYSOFORM BLOQUE MOCHILA X35G;LIMPIEZA;BAÑO
9497;7790520988232;LYSOFORM CANAST.LIQ.FULL X50G;LIMPIEZA;BAÑO
19626;7790520010278;LYSOFORM CANASTA LIQ.REP.50CC;LIMPIEZA;BAÑO
23575;7790520989031;LYSOFORM TOQUE REP CITRICO X12;LIMPIEZA;Aromatizantes
23411;7790520006738;MR.MUSC.MULT.FORM.ACT.GAT X500;LIMPIEZA;ACCESORIOS DE LIMPIEZA
23825;7790520015242;MR.MUSCULO ADHES.FRES.EXT3UX3G;LIMPIEZA;BAÑO
50089;7790520989604;MR.MUSCULO ADHESIVO MARIN 3X3G;LIMPIEZA;BAÑO
9779;7790520984524;MR.MUSCULO ADVA.NJA D/P X500;LIMPIEZA;COCINA
32424;7790520001627;MR.MUSCULO ANTIGR NJA GAT+D/P;LIMPIEZA;COCINA
25150;7790520987488;MR.MUSCULO BAÑO IN TANK X1U;LIMPIEZA;BAÑO
9683;7790520552945;MR.MUSCULO BAÑO REP.X500C;LIMPIEZA;BAÑO
9789;7790520155245;MR.MUSCULO COC.ANTIG.D/P 500ML;LIMPIEZA;COCINA
19719;7790520984616;MR.MUSCULO COC.ANTIG.D/P X900;LIMPIEZA;COCINA
9584;7790520006370;MR.MUSCULO CREMA DESINF.X500ML;LIMPIEZA;COCINA
9791;7790520150509;MR.MUSCULO GEL C/LAVAN X500ML;LIMPIEZA;LAVANDINAS
17555;7790520986818;MR.MUSCULO GEL PREL.GAT X500;LIMPIEZA;ACCESORIOS DE LIMPIEZA
23412;7790520006769;MR.MUSCULO MUL F-ACT.D/P X450;LIMPIEZA;ACCESORIOS DE LIMPIEZA
23413;7790520006752;MR.MUSCULO MUL F-ROJO D/P X900;LIMPIEZA;ACCESORIOS DE LIMPIEZA
9395;7790520985569;MR.MUSCULO MULT-ACC D/P X500;LIMPIEZA;COCINA
9393;7790520985576;MR.MUSCULO MULT-ACC GAT X500;LIMPIEZA;COCINA
9394;7790520985583;MR.MUSCULO MULT-ACC REP X500;LIMPIEZA;COCINA
10422;7790520985675;MR.MUSCULO OXY POWER X250G;LIMPIEZA;COCINA
10486;7790520987365;MR.MUSCULO OXY POWER X400G;LIMPIEZA;COCINA
10335;7790520985934;MR.MUSCULO PREL OXY D/P X500;LIMPIEZA;COCINA
